Sibling Pair ID,Sister Name,Brother Name,Sister's Demand,Rakhi Type,Rakhi Tying Speed (sec),Brother's Gift,Sister's Emotion,Brother's Reaction,Celebration Location,Sweet Shared,Year
SB-1204,Tara,Eric,Gold Ring,Kundan Rakhi,28.07,Custom T-shirt,Excited,Happy,College Hostel,Jalebi,2023
SB-1205,Rita,Kurt,Gold Ring,Eco-friendly Rakhi,58.08,Custom T-shirt,Angry,Grateful,Online Video Call,Rasgulla,2024
SB-1206,Sandra,Jamie,Trip to Goa,Traditional Rakhi,27.51,Sneakers,Playful,Happy,Cafe,Barfi,2024
SB-1207,Maureen,Patrick,Headphones,Cartoon Rakhi,45.57,Wrist Watch,Happy,Nervous,Online Video Call,Jalebi,2024
SB-1208,Sarah,Zachary,Designer Handbag,Bracelet Rakhi,47.95,Sneakers,Playful,Surprised,Office,Barfi,2023
SB-1209,Nicole,Jacob,Fitness Tracker,Kundan Rakhi,50.47,Bluetooth Speaker,Excited,Surprised,Online Video Call,Barfi,2025
SB-1210,Kimberly,John,Trip to Goa,Eco-friendly Rakhi,45.02,Sneakers,Happy,Grateful,Office,Ladoo,2023
SB-1211,Linda,Kevin,Shopping Voucher,Kundan Rakhi,10.74,Gift Card,Excited,Excited,Mall,Kaju Katli,2024
SB-1212,Laura,Joseph,Smartphone,Cartoon Rakhi,19.72,Teddy Bear,Sentimental,Grateful,Office,Jalebi,2023
SB-1213,Barbara,Andrew,Smartphone,Zardosi Rakhi,49.45,Gift Card,Happy,Shocked,Home,Rasgulla,2024
SB-1214,Autumn,Daniel,Designer Handbag,Traditional Rakhi,13.91,Cash,Happy,Grateful,Cafe,Kaju Katli,2023
SB-1215,Kristie,Daniel,Makeup Kit,Bracelet Rakhi,8.57,Sneakers,Excited,Excited,Office,Peda,2025
SB-1216,Jacqueline,Joshua,Perfume,Kundan Rakhi,31.31,Sneakers,Playful,Nervous,Home,Gulab Jamun,2024
SB-1217,Jennifer,Max,Makeup Kit,Eco-friendly Rakhi,7.41,Cash,Playful,Grateful,Online Video Call,Ladoo,2022
SB-1218,Whitney,Ryan,Shopping Voucher,Traditional Rakhi,55,Custom T-shirt,Joyful,Shocked,Office,Barfi,2025
SB-1219,Katrina,Michael,Fitness Tracker,Bracelet Rakhi,20.34,Wrist Watch,Happy,Happy,College Hostel,Barfi,2022
SB-1220,Courtney,James,Trip to Goa,Zardosi Rakhi,26.64,Sneakers,Joyful,Grateful,Cafe,Jalebi,2022
SB-1221,Vicki,John,Headphones,Cartoon Rakhi,33.16,Custom T-shirt,Joyful,Shocked,Home,Gulab Jamun,2023
SB-1222,Tiffany,Jordan,Trip to Goa,Traditional Rakhi,22,Sweets Box,Sentimental,Excited,Mall,Gulab Jamun,2022
SB-1223,Erica,Timothy,Headphones,Silver Rakhi,23.52,Sneakers,Excited,Nervous,Mall,Barfi,2024
SB-1224,Laura,Michael,Trip to Goa,Silver Rakhi,42.82,Cash,Happy,Surprised,Online Video Call,Ladoo,2024
SB-1225,Erin,Craig,Smartphone,Cartoon Rakhi,34.4,Sneakers,Joyful,Happy,Online Video Call,Jalebi,2025
SB-1226,Madison,Eric,Shopping Voucher,Silver Rakhi,45.5,Wrist Watch,Excited,Excited,College Hostel,Rasgulla,2024
SB-1227,Shannon,Chad,Trip to Goa,Traditional Rakhi,31.05,Bluetooth Speaker,Sentimental,Grateful,Cafe,Barfi,2024
SB-1228,Jessica,Tanner,Makeup Kit,Bracelet Rakhi,59.15,Backpack,Joyful,Shocked,Cafe,Rasgulla,2024
SB-1229,Katie,Jeremy,Shopping Voucher,Silver Rakhi,33.36,Chocolate Hamper,Excited,Happy,Office,Barfi,2023
SB-1230,Mary,James,Smartphone,Kundan Rakhi,41.43,Gift Card,Playful,Happy,Mall,Rasgulla,2025
SB-1231,Brianna,Harry,Books,Traditional Rakhi,8.25,Cash,Sentimental,Happy,Online Video Call,Ladoo,2024
SB-1232,Michelle,Samuel,Shopping Voucher,Silver Rakhi,40.67,Bluetooth Speaker,Happy,Nervous,Cafe,Rasgulla,2025
SB-1233,Sandra,Luis,Gold Ring,Lumba Rakhi,47.17,Gift Card,Angry,Nervous,College Hostel,Kaju Katli,2023
SB-1234,Ana,Christopher,Designer Handbag,Lumba Rakhi,8.48,Gift Card,Happy,Surprised,Mall,Ladoo,2025
SB-1235,Vanessa,Daniel,Smartphone,Traditional Rakhi,7.83,Custom T-shirt,Excited,Happy,Home,Gulab Jamun,2024
SB-1236,Jennifer,Nicholas,Trip to Goa,Cartoon Rakhi,8.62,Sweets Box,Excited,Surprised,College Hostel,Ladoo,2022
SB-1237,Amy,Alex,Smartphone,Eco-friendly Rakhi,51.33,Sweets Box,Excited,Excited,Home,Rasgulla,2024
SB-1238,Rebekah,Joseph,Fitness Tracker,Silver Rakhi,49.85,Sneakers,Angry,Excited,Office,Barfi,2024
SB-1239,Rebecca,Michael,Books,Kundan Rakhi,46.56,Gift Card,Joyful,Grateful,Mall,Rasgulla,2024
SB-1240,Sarah,Christopher,Books,Traditional Rakhi,14.68,Bluetooth Speaker,Sentimental,Excited,College Hostel,Peda,2023
SB-1241,Wendy,Rodney,Gold Ring,Lumba Rakhi,20.39,Teddy Bear,Excited,Happy,College Hostel,Kaju Katli,2024
SB-1242,Sheryl,Alexander,Designer Handbag,Silver Rakhi,58,Cash,Sentimental,Happy,College Hostel,Ladoo,2024
SB-1243,Sarah,Bryan,Headphones,Zardosi Rakhi,9.25,Cash,Angry,Surprised,College Hostel,Barfi,2024
SB-1244,Mary,Daniel,Books,Lumba Rakhi,28.38,Teddy Bear,Playful,Nervous,Mall,Jalebi,2024
SB-1245,Laura,Bob,Fitness Tracker,Silver Rakhi,18.1,Sweets Box,Joyful,Nervous,Online Video Call,Peda,2023
SB-1246,Hailey,Daniel,Fitness Tracker,Zardosi Rakhi,45.56,Sneakers,Excited,Nervous,Mall,Gulab Jamun,2023
SB-1247,Cheryl,Travis,Perfume,Zardosi Rakhi,34.49,Wrist Watch,Excited,Excited,Online Video Call,Ladoo,2025
SB-1248,Amanda,Jeffrey,Designer Handbag,Zardosi Rakhi,33.45,Sneakers,Playful,Happy,Online Video Call,Rasgulla,2023
SB-1249,April,Ryan,Books,Bracelet Rakhi,23.28,Wrist Watch,Playful,Surprised,College Hostel,Kaju Katli,2023
SB-1250,Andrea,Anthony,Headphones,Eco-friendly Rakhi,8.17,Cash,Happy,Happy,College Hostel,Rasgulla,2025
SB-1251,Katherine,Andrew,Trip to Goa,Kundan Rakhi,32.3,Chocolate Hamper,Playful,Grateful,College Hostel,Jalebi,2024
SB-1252,Amanda,Brian,Smartphone,Zardosi Rakhi,57.31,Sweets Box,Joyful,Excited,Office,Rasgulla,2023
SB-1253,Carrie,William,Perfume,Traditional Rakhi,53.66,Custom T-shirt,Playful,Nervous,College Hostel,Rasgulla,2023
SB-1254,Christina,Peter,Designer Handbag,Traditional Rakhi,53.13,Wrist Watch,Sentimental,Nervous,Office,Ladoo,2022
SB-1255,Alexis,Albert,Perfume,Silver Rakhi,25.42,Chocolate Hamper,Happy,Nervous,Home,Barfi,2023
SB-1256,Cynthia,Michael,Gold Ring,Silver Rakhi,20.77,Sneakers,Angry,Surprised,College Hostel,Rasgulla,2024
SB-1257,Audrey,Larry,Perfume,Traditional Rakhi,43.14,Sweets Box,Excited,Shocked,Office,Peda,2024
SB-1258,Carol,John,Trip to Goa,Bracelet Rakhi,17.45,Cash,Joyful,Surprised,Online Video Call,Barfi,2022
SB-1259,Jennifer,Robert,Makeup Kit,Zardosi Rakhi,18.08,Gift Card,Playful,Nervous,Cafe,Barfi,2023
SB-1260,Ashley,Brandon,Fitness Tracker,Zardosi Rakhi,57.65,Gift Card,Sentimental,Excited,College Hostel,Kaju Katli,2023
SB-1261,Sheila,Christopher,Gold Ring,Lumba Rakhi,58.29,Teddy Bear,Excited,Shocked,Office,Peda,2025
SB-1262,Kaitlyn,Robert,Shopping Voucher,Zardosi Rakhi,43.08,Gift Card,Happy,Surprised,Mall,Barfi,2023
SB-1263,Sherry,David,Designer Handbag,Kundan Rakhi,48.01,Bluetooth Speaker,Playful,Grateful,Office,Peda,2022
SB-1264,Deborah,Kenneth,Books,Zardosi Rakhi,41.98,Backpack,Angry,Shocked,Mall,Jalebi,2024
SB-1265,Catherine,William,Perfume,Kundan Rakhi,13,Cash,Excited,Nervous,Mall,Rasgulla,2022
SB-1266,Terry,Jimmy,Designer Handbag,Bracelet Rakhi,10.05,Custom T-shirt,Joyful,Grateful,College Hostel,Ladoo,2025
SB-1267,Cynthia,James,Perfume,Silver Rakhi,37.61,Chocolate Hamper,Angry,Excited,Mall,Ladoo,2024
SB-1268,Misty,Alan,Shopping Voucher,Zardosi Rakhi,16.41,Wrist Watch,Excited,Excited,Mall,Ladoo,2025
SB-1269,Claudia,Sean,Headphones,Kundan Rakhi,20.25,Backpack,Happy,Excited,Home,Gulab Jamun,2025
SB-1270,Nicole,Robert,Smartphone,Bracelet Rakhi,50.6,Sweets Box,Excited,Grateful,College Hostel,Jalebi,2023
SB-1271,Stacy,Gary,Gold Ring,Zardosi Rakhi,19.44,Chocolate Hamper,Sentimental,Happy,Online Video Call,Ladoo,2022
SB-1272,Madison,Jeffrey,Designer Handbag,Eco-friendly Rakhi,33.57,Sweets Box,Happy,Excited,Cafe,Rasgulla,2023
SB-1273,Lisa,Christopher,Perfume,Zardosi Rakhi,17.37,Cash,Angry,Excited,Home,Gulab Jamun,2023
SB-1274,Pamela,Robert,Designer Handbag,Bracelet Rakhi,57.37,Bluetooth Speaker,Playful,Shocked,Online Video Call,Jalebi,2023
SB-1275,Mikayla,Matthew,Designer Handbag,Cartoon Rakhi,32.69,Gift Card,Playful,Nervous,Online Video Call,Rasgulla,2025
SB-1276,Elizabeth,William,Trip to Goa,Eco-friendly Rakhi,15.18,Bluetooth Speaker,Joyful,Excited,Online Video Call,Peda,2022
SB-1277,Maria,Gregory,Headphones,Kundan Rakhi,38.06,Chocolate Hamper,Sentimental,Shocked,College Hostel,Gulab Jamun,2023
SB-1278,Sharon,Travis,Designer Handbag,Eco-friendly Rakhi,24.09,Sweets Box,Angry,Grateful,Home,Kaju Katli,2025
SB-1279,Mary,David,Designer Handbag,Traditional Rakhi,19.43,Teddy Bear,Angry,Excited,Cafe,Peda,2023
SB-1280,Amanda,Timothy,Designer Handbag,Traditional Rakhi,9.47,Sweets Box,Joyful,Shocked,Mall,Ladoo,2024
SB-1281,Karen,Benjamin,Perfume,Zardosi Rakhi,42.04,Teddy Bear,Angry,Surprised,Online Video Call,Peda,2025
SB-1282,Gina,Ryan,Designer Handbag,Zardosi Rakhi,38.28,Chocolate Hamper,Joyful,Nervous,Online Video Call,Rasgulla,2025
SB-1283,Jessica,Travis,Perfume,Silver Rakhi,45.96,Backpack,Happy,Happy,Home,Kaju Katli,2023
SB-1284,Cindy,Paul,Headphones,Cartoon Rakhi,59.44,Bluetooth Speaker,Sentimental,Grateful,Office,Gulab Jamun,2025
SB-1285,Sarah,Chase,Headphones,Kundan Rakhi,18.31,Chocolate Hamper,Happy,Happy,College Hostel,Kaju Katli,2025
SB-1286,Denise,James,Shopping Voucher,Kundan Rakhi,49.8,Gift Card,Excited,Excited,Office,Jalebi,2022
SB-1287,Sophia,Derrick,Makeup Kit,Eco-friendly Rakhi,7.47,Bluetooth Speaker,Happy,Grateful,Mall,Peda,2022
SB-1288,Alyssa,Joseph,Headphones,Cartoon Rakhi,32.63,Backpack,Joyful,Nervous,Mall,Peda,2023
SB-1289,Bridget,Richard,Shopping Voucher,Silver Rakhi,33.4,Cash,Angry,Happy,Home,Kaju Katli,2025
SB-1290,Stephanie,Scott,Headphones,Bracelet Rakhi,6.21,Teddy Bear,Excited,Shocked,Cafe,Barfi,2022
SB-1291,Carol,Timothy,Gold Ring,Zardosi Rakhi,37.74,Bluetooth Speaker,Sentimental,Grateful,Office,Gulab Jamun,2025
SB-1292,Mary,Bradley,Shopping Voucher,Traditional Rakhi,43.22,Cash,Happy,Excited,Office,Ladoo,2023
SB-1293,Brandi,Paul,Smartphone,Traditional Rakhi,44.26,Cash,Happy,Excited,College Hostel,Rasgulla,2022
SB-1294,Jennifer,Dean,Designer Handbag,Zardosi Rakhi,29.52,Wrist Watch,Excited,Nervous,Cafe,Rasgulla,2022
SB-1295,Lisa,Ryan,Headphones,Silver Rakhi,49.46,Custom T-shirt,Playful,Excited,Cafe,Peda,2023
SB-1296,Hannah,Stephen,Shopping Voucher,Zardosi Rakhi,51.2,Bluetooth Speaker,Playful,Surprised,Online Video Call,Barfi,2022
SB-1297,Susan,Randy,Designer Handbag,Cartoon Rakhi,46.27,Custom T-shirt,Excited,Happy,Home,Barfi,2025
SB-1298,Tammy,Larry,Headphones,Bracelet Rakhi,14.36,Sneakers,Playful,Grateful,Home,Barfi,2023
SB-1299,Susan,Matthew,Headphones,Traditional Rakhi,43.56,Teddy Bear,Sentimental,Shocked,College Hostel,Barfi,2022
SB-1300,Heather,Steven,Headphones,Kundan Rakhi,28.89,Sweets Box,Angry,Excited,Online Video Call,Ladoo,2024
SB-1301,Jade,William,Gold Ring,Eco-friendly Rakhi,30.92,Backpack,Playful,Happy,College Hostel,Gulab Jamun,2022
SB-1302,Nicole,David,Fitness Tracker,Eco-friendly Rakhi,57.73,Sweets Box,Excited,Happy,Mall,Peda,2024
SB-1303,Jane,Patrick,Makeup Kit,Kundan Rakhi,46.66,Custom T-shirt,Excited,Shocked,Online Video Call,Barfi,2024
SB-1304,Jennifer,Ronald,Fitness Tracker,Kundan Rakhi,53.1,Sneakers,Excited,Grateful,College Hostel,Gulab Jamun,2022
SB-1305,Jennifer,Alexander,Trip to Goa,Zardosi Rakhi,32.49,Custom T-shirt,Angry,Shocked,Home,Gulab Jamun,2024
SB-1306,Elizabeth,William,Trip to Goa,Kundan Rakhi,50.02,Teddy Bear,Angry,Surprised,Online Video Call,Jalebi,2022
SB-1307,Kristen,Troy,Fitness Tracker,Cartoon Rakhi,58.75,Backpack,Excited,Happy,Online Video Call,Kaju Katli,2025
SB-1308,Jennifer,Jeffery,Shopping Voucher,Eco-friendly Rakhi,11.86,Custom T-shirt,Angry,Grateful,College Hostel,Peda,2025
SB-1309,Cheryl,Todd,Gold Ring,Lumba Rakhi,33.13,Cash,Playful,Excited,Mall,Peda,2022
SB-1310,Amber,Chris,Books,Bracelet Rakhi,18.38,Chocolate Hamper,Joyful,Shocked,Mall,Peda,2022
SB-1311,Allison,Christopher,Designer Handbag,Silver Rakhi,17.84,Custom T-shirt,Sentimental,Excited,Cafe,Peda,2023
SB-1312,Alexis,Jason,Designer Handbag,Bracelet Rakhi,24.96,Backpack,Sentimental,Grateful,Mall,Peda,2025
SB-1313,Jessica,Charles,Books,Eco-friendly Rakhi,56.58,Sweets Box,Angry,Excited,Cafe,Kaju Katli,2022
SB-1314,Deborah,Jeffrey,Makeup Kit,Silver Rakhi,37.26,Sweets Box,Excited,Nervous,Home,Barfi,2024
SB-1315,Latoya,John,Smartphone,Silver Rakhi,17.07,Gift Card,Excited,Grateful,Cafe,Barfi,2022
SB-1316,Taylor,Eric,Shopping Voucher,Lumba Rakhi,56.83,Teddy Bear,Joyful,Nervous,Cafe,Peda,2025
SB-1317,Jessica,Joseph,Designer Handbag,Lumba Rakhi,18.52,Gift Card,Happy,Nervous,Cafe,Rasgulla,2023
SB-1318,April,Kevin,Designer Handbag,Kundan Rakhi,16.84,Wrist Watch,Angry,Happy,Cafe,Gulab Jamun,2023
SB-1319,Jordan,John,Fitness Tracker,Silver Rakhi,52.06,Sweets Box,Happy,Surprised,Online Video Call,Jalebi,2022
SB-1320,Judith,Ryan,Designer Handbag,Lumba Rakhi,18.79,Bluetooth Speaker,Happy,Shocked,Mall,Ladoo,2022
SB-1321,Sandra,David,Shopping Voucher,Traditional Rakhi,55.96,Wrist Watch,Excited,Surprised,Home,Peda,2024
SB-1322,Jennifer,Charles,Designer Handbag,Kundan Rakhi,27.34,Wrist Watch,Angry,Shocked,Office,Gulab Jamun,2022
SB-1323,Anna,Sean,Trip to Goa,Kundan Rakhi,43.21,Gift Card,Sentimental,Excited,Office,Barfi,2023
SB-1324,Melinda,Gabriel,Headphones,Silver Rakhi,27.64,Gift Card,Angry,Happy,Home,Kaju Katli,2024
SB-1325,Danielle,Richard,Trip to Goa,Zardosi Rakhi,48.08,Teddy Bear,Excited,Surprised,Online Video Call,Barfi,2022
SB-1326,Valerie,William,Fitness Tracker,Silver Rakhi,17.61,Backpack,Excited,Surprised,Online Video Call,Jalebi,2022
SB-1327,Jasmine,Alex,Makeup Kit,Kundan Rakhi,28.81,Bluetooth Speaker,Playful,Happy,Cafe,Kaju Katli,2022
SB-1328,Stacy,William,Designer Handbag,Silver Rakhi,47.9,Gift Card,Angry,Surprised,Home,Gulab Jamun,2025
SB-1329,Tonya,Michael,Headphones,Kundan Rakhi,58.8,Wrist Watch,Sentimental,Shocked,College Hostel,Peda,2024
SB-1330,Bonnie,Zachary,Headphones,Silver Rakhi,21.84,Wrist Watch,Excited,Excited,Office,Ladoo,2023
SB-1331,Sharon,David,Designer Handbag,Cartoon Rakhi,37.57,Teddy Bear,Happy,Surprised,Office,Barfi,2023
SB-1332,Jodi,Bryan,Designer Handbag,Silver Rakhi,13.85,Backpack,Happy,Excited,Home,Barfi,2024
SB-1333,Robin,Kelly,Designer Handbag,Lumba Rakhi,31.58,Sneakers,Joyful,Surprised,Cafe,Gulab Jamun,2022
SB-1334,Andrea,Brian,Shopping Voucher,Silver Rakhi,14.76,Backpack,Playful,Grateful,Cafe,Barfi,2025
SB-1335,Joanne,Christopher,Fitness Tracker,Zardosi Rakhi,28.68,Cash,Playful,Happy,Online Video Call,Peda,2023
SB-1336,Sandra,Timothy,Perfume,Silver Rakhi,51.17,Custom T-shirt,Playful,Grateful,College Hostel,Peda,2022
SB-1337,Patricia,Michael,Smartphone,Eco-friendly Rakhi,51.48,Teddy Bear,Sentimental,Grateful,Home,Kaju Katli,2023
SB-1338,Cynthia,Marvin,Smartphone,Traditional Rakhi,58.48,Backpack,Excited,Shocked,Office,Jalebi,2024
SB-1339,Cassie,Mario,Headphones,Lumba Rakhi,18.12,Custom T-shirt,Joyful,Grateful,Office,Ladoo,2023
SB-1340,Whitney,Jose,Shopping Voucher,Eco-friendly Rakhi,54.35,Bluetooth Speaker,Happy,Nervous,Online Video Call,Rasgulla,2022
SB-1341,Kristen,Donald,Fitness Tracker,Zardosi Rakhi,47.84,Custom T-shirt,Angry,Happy,Cafe,Barfi,2022
SB-1342,Jessica,Samuel,Books,Silver Rakhi,17.02,Wrist Watch,Joyful,Nervous,Online Video Call,Rasgulla,2022
SB-1343,Patricia,Edward,Perfume,Zardosi Rakhi,14.7,Wrist Watch,Sentimental,Excited,Online Video Call,Kaju Katli,2025
SB-1344,Brenda,Christian,Gold Ring,Lumba Rakhi,12.53,Custom T-shirt,Happy,Nervous,Mall,Gulab Jamun,2023
SB-1345,Melissa,Jose,Makeup Kit,Silver Rakhi,22.14,Custom T-shirt,Sentimental,Surprised,Home,Kaju Katli,2024
SB-1346,Rose,Joseph,Headphones,Kundan Rakhi,36.51,Sneakers,Angry,Excited,College Hostel,Jalebi,2025
SB-1347,Sharon,Michael,Books,Bracelet Rakhi,37.14,Custom T-shirt,Sentimental,Excited,College Hostel,Peda,2025
SB-1348,Amanda,Dennis,Makeup Kit,Eco-friendly Rakhi,34.31,Wrist Watch,Playful,Shocked,Online Video Call,Gulab Jamun,2025
SB-1349,Samantha,Ernest,Trip to Goa,Cartoon Rakhi,46.86,Custom T-shirt,Excited,Grateful,Cafe,Rasgulla,2022
SB-1350,Brenda,Charles,Fitness Tracker,Bracelet Rakhi,18.34,Custom T-shirt,Playful,Surprised,Online Video Call,Jalebi,2022
SB-1351,Crystal,Jeff,Trip to Goa,Silver Rakhi,26.33,Bluetooth Speaker,Excited,Surprised,Home,Jalebi,2025
SB-1352,Cynthia,Dennis,Makeup Kit,Eco-friendly Rakhi,38.02,Chocolate Hamper,Happy,Excited,Online Video Call,Jalebi,2025
SB-1353,Ruth,Gregory,Designer Handbag,Cartoon Rakhi,15.06,Custom T-shirt,Playful,Shocked,College Hostel,Ladoo,2022
SB-1354,Ashley,Michael,Gold Ring,Silver Rakhi,31.79,Cash,Sentimental,Happy,Cafe,Rasgulla,2022
SB-1355,Jillian,Brandon,Trip to Goa,Lumba Rakhi,54.45,Bluetooth Speaker,Excited,Surprised,Online Video Call,Ladoo,2022
SB-1356,Casey,Jonathon,Headphones,Kundan Rakhi,10.16,Custom T-shirt,Playful,Grateful,Online Video Call,Kaju Katli,2022
SB-1357,Kelsey,Stephen,Headphones,Bracelet Rakhi,54.64,Teddy Bear,Excited,Happy,Cafe,Barfi,2024
SB-1358,Maria,Christopher,Makeup Kit,Bracelet Rakhi,16.91,Teddy Bear,Angry,Happy,Online Video Call,Kaju Katli,2023
SB-1359,Nicole,Richard,Smartphone,Silver Rakhi,29.61,Cash,Sentimental,Happy,Online Video Call,Kaju Katli,2025
SB-1360,Joy,Adam,Designer Handbag,Silver Rakhi,15.25,Gift Card,Sentimental,Excited,Office,Kaju Katli,2025
SB-1361,Brenda,Jacob,Shopping Voucher,Zardosi Rakhi,46.36,Sweets Box,Angry,Surprised,Home,Gulab Jamun,2025
SB-1362,Laura,Matthew,Headphones,Kundan Rakhi,27.69,Gift Card,Sentimental,Excited,Home,Gulab Jamun,2024
SB-1363,Alicia,Alex,Gold Ring,Silver Rakhi,46.28,Bluetooth Speaker,Sentimental,Shocked,Office,Barfi,2024
SB-1364,Amber,Edward,Designer Handbag,Lumba Rakhi,7.04,Chocolate Hamper,Playful,Nervous,Cafe,Jalebi,2024
SB-1365,Shannon,Christopher,Makeup Kit,Traditional Rakhi,41.51,Sneakers,Playful,Shocked,Mall,Gulab Jamun,2022
SB-1366,Brittany,Ivan,Gold Ring,Zardosi Rakhi,42.99,Sneakers,Angry,Nervous,College Hostel,Peda,2022
SB-1367,Stephanie,Cole,Fitness Tracker,Cartoon Rakhi,27.82,Backpack,Joyful,Happy,Online Video Call,Rasgulla,2022
SB-1368,Kimberly,Chad,Gold Ring,Eco-friendly Rakhi,13.54,Backpack,Sentimental,Shocked,Home,Barfi,2025
SB-1369,Natasha,Michael,Perfume,Eco-friendly Rakhi,32.44,Sneakers,Sentimental,Nervous,Online Video Call,Gulab Jamun,2025
SB-1370,Cassandra,Frank,Books,Silver Rakhi,16.21,Gift Card,Angry,Surprised,Mall,Rasgulla,2022
SB-1371,Hannah,Mark,Makeup Kit,Traditional Rakhi,36.8,Sweets Box,Angry,Surprised,Mall,Peda,2024
SB-1372,Michelle,Brian,Fitness Tracker,Traditional Rakhi,29.9,Cash,Joyful,Surprised,Cafe,Kaju Katli,2025
SB-1373,Marie,Michael,Perfume,Bracelet Rakhi,25.28,Teddy Bear,Happy,Excited,Cafe,Ladoo,2025
SB-1374,Patricia,Randy,Trip to Goa,Silver Rakhi,17.62,Backpack,Joyful,Nervous,Home,Ladoo,2024
SB-1375,Allison,Joseph,Gold Ring,Traditional Rakhi,18.05,Custom T-shirt,Happy,Nervous,Office,Jalebi,2024
SB-1376,Amanda,Corey,Makeup Kit,Traditional Rakhi,5.68,Custom T-shirt,Happy,Shocked,College Hostel,Ladoo,2024
SB-1377,Laura,David,Headphones,Cartoon Rakhi,43.77,Teddy Bear,Angry,Grateful,Home,Ladoo,2023
SB-1378,Margaret,Mark,Headphones,Lumba Rakhi,7.1,Chocolate Hamper,Excited,Excited,Mall,Gulab Jamun,2022
SB-1379,Lisa,Mitchell,Gold Ring,Eco-friendly Rakhi,18.31,Wrist Watch,Happy,Nervous,Office,Jalebi,2024
SB-1380,Andrea,Kevin,Fitness Tracker,Kundan Rakhi,6.58,Bluetooth Speaker,Playful,Grateful,Mall,Ladoo,2025
SB-1381,Karen,Noah,Perfume,Zardosi Rakhi,45.47,Wrist Watch,Joyful,Happy,Mall,Ladoo,2024
SB-1382,Tracy,Jamie,Designer Handbag,Lumba Rakhi,31.08,Sneakers,Sentimental,Happy,Office,Barfi,2024
SB-1383,April,David,Makeup Kit,Kundan Rakhi,42.81,Bluetooth Speaker,Playful,Grateful,Mall,Kaju Katli,2022
SB-1384,Laura,Robert,Makeup Kit,Cartoon Rakhi,28.24,Wrist Watch,Happy,Happy,Online Video Call,Peda,2023
SB-1385,Brandy,Andrew,Designer Handbag,Bracelet Rakhi,12.32,Wrist Watch,Excited,Shocked,Office,Gulab Jamun,2024
SB-1386,Connie,Adam,Makeup Kit,Kundan Rakhi,53.81,Teddy Bear,Playful,Grateful,Office,Barfi,2025
SB-1387,Janice,Austin,Books,Cartoon Rakhi,47.22,Teddy Bear,Sentimental,Nervous,Online Video Call,Ladoo,2025
SB-1388,Rebecca,Mark,Perfume,Cartoon Rakhi,24.9,Teddy Bear,Angry,Happy,Online Video Call,Rasgulla,2023
SB-1389,Samantha,Sean,Gold Ring,Kundan Rakhi,32.51,Gift Card,Playful,Excited,Online Video Call,Rasgulla,2023
SB-1390,Laura,Gerald,Perfume,Zardosi Rakhi,7.62,Bluetooth Speaker,Angry,Shocked,Online Video Call,Kaju Katli,2025
SB-1391,Emily,Peter,Smartphone,Silver Rakhi,41.87,Bluetooth Speaker,Playful,Happy,Cafe,Kaju Katli,2024
SB-1392,Angela,Anthony,Trip to Goa,Kundan Rakhi,15.51,Cash,Excited,Nervous,College Hostel,Jalebi,2024
SB-1393,Lori,David,Books,Kundan Rakhi,9.8,Custom T-shirt,Excited,Excited,College Hostel,Peda,2022
SB-1394,Krystal,Andrew,Gold Ring,Cartoon Rakhi,56.28,Gift Card,Happy,Surprised,Mall,Peda,2023
SB-1395,Cindy,Timothy,Smartphone,Silver Rakhi,55.22,Gift Card,Happy,Surprised,Online Video Call,Gulab Jamun,2025
SB-1396,Emily,James,Makeup Kit,Traditional Rakhi,43.42,Chocolate Hamper,Angry,Surprised,Home,Jalebi,2025
SB-1397,Monica,Ryan,Gold Ring,Bracelet Rakhi,42.79,Gift Card,Sentimental,Nervous,Cafe,Barfi,2024
SB-1398,Gabriela,Jason,Trip to Goa,Cartoon Rakhi,48.6,Wrist Watch,Excited,Surprised,Office,Peda,2023
SB-1399,Nancy,Charles,Books,Traditional Rakhi,17.4,Chocolate Hamper,Joyful,Excited,Cafe,Jalebi,2022
SB-1400,Kimberly,Douglas,Designer Handbag,Zardosi Rakhi,18.87,Sneakers,Sentimental,Surprised,Mall,Kaju Katli,2023
SB-1401,Bailey,Eric,Designer Handbag,Traditional Rakhi,59.03,Wrist Watch,Sentimental,Shocked,Home,Jalebi,2023
SB-1402,Molly,Isaac,Makeup Kit,Bracelet Rakhi,11.1,Sweets Box,Happy,Happy,Online Video Call,Barfi,2025
SB-1403,Jennifer,Michael,Shopping Voucher,Cartoon Rakhi,39.89,Chocolate Hamper,Sentimental,Grateful,Cafe,Kaju Katli,2023
SB-1404,Ashley,Terry,Designer Handbag,Lumba Rakhi,42.63,Sweets Box,Joyful,Excited,Mall,Rasgulla,2024
SB-1405,Sandra,William,Shopping Voucher,Bracelet Rakhi,9.27,Cash,Happy,Excited,Office,Ladoo,2024
SB-1406,Brenda,Zachary,Books,Bracelet Rakhi,33.12,Sneakers,Happy,Excited,Mall,Gulab Jamun,2023
SB-1407,Alexis,Kyle,Books,Kundan Rakhi,31.5,Backpack,Sentimental,Excited,Home,Peda,2024
SB-1408,Sarah,Matthew,Perfume,Zardosi Rakhi,14.29,Gift Card,Angry,Grateful,Home,Barfi,2023
SB-1409,Samantha,Troy,Headphones,Bracelet Rakhi,49.06,Sneakers,Sentimental,Surprised,Home,Jalebi,2024
SB-1410,Janice,Malik,Smartphone,Traditional Rakhi,20.16,Sweets Box,Sentimental,Nervous,Online Video Call,Kaju Katli,2023
